Number,Short description,Change Environment,Opened by,Assigned to,Assignment group,Service,State,Risk,Priority,Urgency,Impact,Model,Created,Start Date,Closed
CR-1,Data breach notification sent to affected users.,Facilities,User D,User B,Group B,Service C,New,Low,P3,High,High,Model B,2024-09-19 18:12:40,,
CR-2,Service unavailable due to maintenance,Complaint,User C,User D,Group B,Service B,Canceled,Low,P2,Low,High,Model B,2024-09-20 18:12:40,2024-09-20 20:12:40,2024-09-20 21:12:40
CR-3,Security patch applied: Monitoring for any issues.,Failure,User A,User C,Group C,Service A,Closed,Medium,P2,Low,Low,Model C,2024-10-21 18:12:40,2024-10-21 19:12:40,2024-10-21 20:12:40
CR-4,Security patch applied: Monitoring for any issues.,Hardware,User C,User B,Group A,Service C,Canceled,Medium,P2,Low,Medium,Model C,2024-11-04 18:12:40,2024-11-04 21:12:40,2024-11-04 22:12:40
CR-5,Security patch applied: Monitoring for any issues.,Hardware,User B,User C,Group A,Service C,On Hold,Medium,P1,Low,Medium,Model A,2024-12-05 18:12:40,,
CR-6,Suspicious activity detected on account: User A.,Software,User A,User C,Group B,Service C,Canceled,Low,P3,Medium,Low,Model B,2025-11-02 18:12:40,2025-11-02 21:12:40,2025-11-02 22:12:40
CR-7,Routine check: All systems operational - No issues detected.,Data,User B,"",Group A,Service B,Resolved,Low,P1,Low,High,Model C,2025-11-16 18:12:40,2025-11-16 21:12:40,2025-11-17 01:12:40
CR-8,Security alert: Unauthorized access attempt detected.,Data,User A,"",Group B,Service B,Closed,High,P3,Medium,High,Model A,2024-07-26 18:12:40,2024-07-26 19:12:40,2024-07-26 21:12:40
CR-9,Service unavailable due to maintenance,Hardware,User B,User B,Group A,Service A,Resolved,Medium,P1,Low,Low,Model B,2025-08-12 18:12:40,2025-08-12 19:12:40,2025-08-12 21:12:40
CR-10,Critical alert: Database server overload detected.,Facilities,User B,User A,Group A,Service C,New,Low,P2,High,Medium,Model A,2024-02-16 18:12:40,,
CR-11,Suspicious activity detected on account: User A.,Software,User D,User B,Group A,Service C,New,Medium,P2,High,Medium,Model A,2025-10-13 18:12:40,,
CR-12,Critical alert: Database server overload detected.,Software,User C,User A,Group B,Service C,New,High,P3,High,Low,Model B,2025-05-29 18:12:40,,
CR-13,Performance report: Sluggish response times on application.,Network,User A,User A,Group B,Service B,New,High,P2,Medium,Medium,Model A,2025-02-14 18:12:40,,
CR-14,Suspicious activity detected on account: User A.,SLA Breach,User B,User D,Group A,Service B,Resolved,Medium,P2,Low,Medium,Model B,2025-07-05 18:12:40,2025-07-05 20:12:40,2025-07-06 00:12:40
CR-15,Critical alert: Database server overload detected.,Data,User D,"",Group A,Service B,In Progress,High,P1,Low,High,Model C,2024-10-01 18:12:40,2024-10-01 21:12:40,
CR-16,Routine check: All systems operational - No issues detected.,Network,User D,User B,Group C,Service A,On Hold,Low,P3,Low,Low,Model B,2025-02-17 18:12:40,,
